gene_id	tissue	species	n_pipe	pipe
ENSOCUG00000008071	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008077	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008083	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008163	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008181	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008231	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008283	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008321	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008362	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008419	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008421	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008490	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008544	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008549	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008551	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008662	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008752	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008763	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008793	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008840	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008883	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008933	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008986	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009021	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009025	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009122	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009125	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009140	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009155	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009165	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009200	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009204	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009239	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009402	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009431	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009456	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009469	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009487	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009488	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009512	Brain	Rabbit	1	MaSigPro 
