gene_id	tissue	species	n_pipe	pipe
ENSMODG00000020781	Brain	Opossum	1	MaSigPro 
ENSMODG00000020890	Brain	Opossum	1	MaSigPro 
ENSMODG00000021034	Brain	Opossum	1	MaSigPro 
ENSMODG00000021103	Brain	Opossum	1	MaSigPro 
ENSMODG00000021108	Brain	Opossum	1	MaSigPro 
ENSMODG00000021261	Brain	Opossum	1	MaSigPro 
ENSMODG00000021321	Brain	Opossum	1	MaSigPro 
ENSMODG00000021422	Brain	Opossum	1	MaSigPro 
ENSMODG00000021448	Brain	Opossum	1	MaSigPro 
ENSMODG00000021502	Brain	Opossum	1	MaSigPro 
ENSMODG00000021551	Brain	Opossum	1	MaSigPro 
ENSMODG00000022846	Brain	Opossum	1	MaSigPro 
ENSMODG00000023261	Brain	Opossum	1	MaSigPro 
ENSMODG00000023429	Brain	Opossum	1	MaSigPro 
ENSMODG00000023601	Brain	Opossum	1	MaSigPro 
ENSMODG00000023616	Brain	Opossum	1	MaSigPro 
ENSMODG00000023632	Brain	Opossum	1	MaSigPro 
ENSMODG00000023734	Brain	Opossum	1	MaSigPro 
ENSMODG00000023874	Brain	Opossum	1	MaSigPro 
ENSMODG00000023881	Brain	Opossum	1	MaSigPro 
ENSMODG00000023897	Brain	Opossum	1	MaSigPro 
ENSMODG00000023941	Brain	Opossum	1	MaSigPro 
ENSMODG00000024111	Brain	Opossum	1	MaSigPro 
ENSMODG00000024283	Brain	Opossum	1	MaSigPro 
ENSMODG00000024476	Brain	Opossum	1	MaSigPro 
ENSMODG00000024584	Brain	Opossum	1	MaSigPro 
ENSMODG00000024672	Brain	Opossum	1	MaSigPro 
ENSMODG00000024984	Brain	Opossum	1	MaSigPro 
ENSMODG00000025055	Brain	Opossum	1	MaSigPro 
ENSMODG00000025096	Brain	Opossum	1	MaSigPro 
ENSMODG00000025240	Brain	Opossum	1	MaSigPro 
ENSMODG00000025280	Brain	Opossum	1	MaSigPro 
ENSMODG00000025312	Brain	Opossum	1	MaSigPro 
ENSMODG00000025436	Brain	Opossum	1	MaSigPro 
ENSMODG00000025530	Brain	Opossum	1	MaSigPro 
