id,files,group,sex,tissue,timePoint
Liver.e13.5.4,3916sTS.Mouse.Liver.13.5.Male.htseq.u.txt,e13.5,Male,Liver,-6
Liver.e13.5.5,3921sTS.Mouse.Liver.13.5.Male.htseq.u.txt,e13.5,Male,Liver,-6
Liver.e14.5.1,2245sTS.Mouse.Liver.14.5.Female.htseq.u.txt,e14.5,Female,Liver,-5
Liver.e14.5.2,2229sTS.Mouse.Liver.14.5.Female.htseq.u.txt,e14.5,Female,Liver,-5
Liver.e14.5.3,2225sTSmc.Mouse.Liver.14.5.Male.htseq.u.txt,e14.5,Male,Liver,-5
Liver.e14.5.4,2239sTS.Mouse.Liver.14.5.Male.htseq.u.txt,e14.5,Male,Liver,-5
Liver.e15.5.1,2192sTS.Mouse.Liver.15.5.Female.htseq.u.txt,e15.5,Female,Liver,-4
Liver.e15.5.2,2219sTS.Mouse.Liver.15.5.Female.htseq.u.txt,e15.5,Female,Liver,-4
Liver.e15.5.3,2188sTS.Mouse.Liver.15.5.Male.htseq.u.txt,e15.5,Male,Liver,-4
Liver.e15.5.4,2196sTS.Mouse.Liver.15.5.Male.htseq.u.txt,e15.5,Male,Liver,-4
Liver.e16.5.1,2256sTS.Mouse.Liver.16.5.Female.htseq.u.txt,e16.5,Female,Liver,-3
Liver.e16.5.2,2275sTS.Mouse.Liver.16.5.Female.htseq.u.txt,e16.5,Female,Liver,-3
Liver.e16.5.3,2279sTS.Mouse.Liver.16.5.Male.htseq.u.txt,e16.5,Male,Liver,-3
Liver.e16.5.4,2272sTS.Mouse.Liver.16.5.Male.htseq.u.txt,e16.5,Male,Liver,-3
Liver.e17.5.1,2281sTS.Mouse.Liver.17.5.Female.htseq.u.txt,e17.5,Female,Liver,-2
Liver.e17.5.2,2222sTSm.Mouse.Liver.17.5.Female.htseq.u.txt,e17.5,Female,Liver,-2
Liver.e17.5.3,2118sTS.Mouse.Liver.17.5.Male.htseq.u.txt,e17.5,Male,Liver,-2
Liver.e17.5.4,2284sTS.Mouse.Liver.17.5.Male.htseq.u.txt,e17.5,Male,Liver,-2
Liver.e18.5.1,2315sTS.Mouse.Liver.18.5.Female.htseq.u.txt,e18.5,Female,Liver,-1
Liver.e18.5.2,2325sTS.Mouse.Liver.18.5.Female.htseq.u.txt,e18.5,Female,Liver,-1
Liver.e18.5.3,2309sTS.Mouse.Liver.18.5.Male.htseq.u.txt,e18.5,Male,Liver,-1
